user_id,bio,contact_details
1,Human Resources Assistant I,314-570-5322
2,Tax Accountant,516-236-0991
3,GIS Technical Architect,675-238-7234
4,Information Systems Manager,234-255-3121
5,Sales Representative,438-693-4334
6,Health Coach IV,664-813-1065
7,GIS Technical Architect,515-232-0026
8,Environmental Specialist,546-547-6685
9,Payment Adjustment Coordinator,231-630-0948
10,Social Worker,960-387-0902
11,Accountant IV,914-675-2278
12,Account Executive,783-694-2011
13,VP Quality Control,982-924-1045
14,Project Manager,411-613-1315
15,Environmental Tech,585-454-6384
16,Quality Control Specialist,852-452-5087
17,Accounting Assistant III,419-359-2491
18,Technical Writer,997-980-2835
19,Nurse,161-420-6025
20,Quality Engineer,690-879-5549
21,Administrative Assistant II,719-625-3694
22,Data Coordinator,718-755-9847
23,VP Accounting,757-730-1356
24,Systems Administrator III,781-810-8692
25,General Manager,761-592-3740
26,Technical Writer,751-231-6003
27,Research Assistant IV,735-252-1679
28,Account Representative III,924-817-3035
29,Media Manager I,361-957-2561
30,Geologist IV,566-986-7253
31,Executive Secretary,291-850-5880
32,Staff Scientist,433-764-4420
33,Junior Executive,641-667-1505
34,Account Executive,693-892-6746
35,Biostatistician I,588-876-3283
36,Marketing Manager,943-499-9610
37,VP Marketing,124-152-1641
38,Administrative Assistant IV,444-219-1825
39,Financial Analyst,321-208-7662
40,Physical Therapy Assistant,651-273-7286
41,Administrative Officer,997-380-0648
42,Legal Assistant,161-611-6975
43,Environmental Specialist,988-427-1367
44,Compensation Analyst,680-340-1883
45,Senior Cost Accountant,461-530-8824
46,Human Resources Assistant III,287-655-5945
47,Pharmacist,738-740-1154
48,Physical Therapy Assistant,587-666-3761
49,Design Engineer,296-448-6647
50,Actuary,170-301-9765
51,Media Manager III,597-173-0194
52,Financial Advisor,498-595-0384
53,Software Engineer IV,113-115-1801
54,Junior Executive,292-753-7192
55,Assistant Media Planner,834-432-1356
56,Senior Editor,565-695-1798
57,GIS Technical Architect,799-146-0738
58,Staff Scientist,920-326-1724
59,Librarian,511-543-4652
60,Marketing Assistant,653-331-1370
61,VP Marketing,742-252-5483
62,Administrative Officer,711-402-8585
63,VP Marketing,946-926-3963
64,Geologist II,141-245-1134
65,Actuary,635-534-2266
66,Staff Scientist,182-778-3233
67,Accounting Assistant I,608-877-1541
68,Librarian,805-155-2938
69,Safety Technician III,770-753-6139
70,Research Associate,305-424-5290
71,Statistician II,793-621-8607
